text,target
ខ្ញុំស្រលាញ់ផលិតផលនេះណាស់,positive
មិនពេញចិត្តទេតើអ្វីកើតឡើង?,negative
ផលិតផលមធ្យមៗគ្មានអ្វីពិសេស,neutral
ពលរដ្ឋ៣ភូមិក្នុងស្រុកត្រាំកក់ទទួលបានផ្លូវបេតុងមួយខ្សែដើម្បីសម្រួលដល់ការធ្វើដំណើរ:://,positive
ផ្លូវបេតុងនេះមានប្រវែងជាង១៦០០ម៉ែត្រ,neutral
ប្រជាពលរដ្ឋចំនួន៣ភូមិនឹងលែងជួបការលំបាកក្នុង?ការធ្វើដំណើរ,positive
សិស្សានុសិស្សដែលធ្វើដំណើរឆ្លងកាត់នឹងទទួលបានភាពងាយស្រួល,positive
អាជ្ញាធរស្រុកត្រាំកក់បានបើកការដ្ឋានសាងសង់ផ្លូវបេតុងមួយខ្សែ,positive
ផ្លូវបេតុងនេះមានប្រវែង១៦៣៧ម៉ែត្រ//,neutral
ពិធីបើកការដ្ឋានធ្វើឡើងក្រោមអធិបតីភាពលោកកេតម៉ៅ,neutral
លោកកេតម៉ៅជាអភិបាលនៃគណៈអភិបាលស្រុកត្រាំកក់,neutral
គម្រោងផ្លូវនេះជាគម្រោងមូលនិធិឃុំលាយបូរឆ្នាំ២០២៥,neutral
ផ្លូវមានទទឹង៦ម៉ែត្រនិងកម្រាស់១៥០ម៉ែត្រ,neutral
ផ្លូវនេះស្ថិតនៅក្នុងភូមិត្រពាំងព្រីង,neutral
ផ្លូវនេះក៏ស្ថិតនៅក្នុងភូមិអង្គគគីរ,neutral
ការសាងសង់ផ្លូវនេះឆ្លើយតបនឹងការទន្ទឹងរង់ចាំរបស់ប្រជាពលរដ្ឋ,positive
ផ្លូវបេតុងនេះជួយសម្រួលដល់ការធ្វើដំណើរប្រចាំថ្ងៃ,positive
ផ្លូវថ្មីនេះជួយបង្កើនសុវត្ថិភាពក្នុងរដូវវស្សា,positive
