target,target
វគ្គចុងក្រោយនៃថ្ងៃ http://twitpic.com/67ezh,neutral
ទីក្រុងសៀងហៃក៏គួរឱ្យរំភើបផងដែរ (ច្បាស់ណាស់ - អគារខ្ពស់ៗជាច្រើន)។រលកល្អនៅក្នុងប្រទេសចិន៖ (SH) (BJ) ។,positive
វិបត្តិសេដ្ឋកិច្ចជួប Veronique Branquinho នាងត្រូវលាឈប់ពីក្រុមហ៊ុន គួរឲ្យអាម៉ាស់ណាស់!,negative
រីករាយថ្ងៃបុណ្យ!,positive
http://twitpic.com/4w75p - ចូលចិត្ត!!,positive
អស្ចារ្យណាស់!!វ៉ី!!ភ្ញៀវ!,positive
ខ្ញុំគិតថាគ្រប់គ្នាស្អប់ខ្ញុំនៅទីនេះ lol,negative
soooooo ចង់ឱ្យខ្ញុំអាចធ្វើបាន ប៉ុន្តែខ្ញុំនៅសាលារៀន ហើយ myspace ត្រូវបានបិទទាំងស្រុង,negative
ហើយក្នុងរយៈពេលដ៏ខ្លីនៃតម្រុយចុងក្រោយរបស់ពួកគេ។,neutral
តើអ្នកទទួលបានអ្វីខ្លះ?ថ្ងៃ​ខ្ញុំ​មិន​អី​ទេ.. អត់​ទាន់​បាន​ធ្វើ​អី​ទេ។ឆាប់ទៅណាប្អូនស្រី!,neutral
ម៉ូតូខ្ញុំជាប់គាំង...គួរតែដឹងថា.... យ៉ាប់ណាស់!,negative
 ខ្ញុំបានពិនិត្យ។  យើងមិនបានឈ្នះទេ។,neutral
 .. and you`re on twitter! Did the tavern bore you that much?,neutral
ខ្ញុំនៅ VA ចុងសប្តាហ៍ កូនប្រុសពៅរបស់ខ្ញុំមានអាយុ 2 ឆ្នាំនៅថ្ងៃស្អែក......វាធ្វើឱ្យខ្ញុំសោកសៅបន្តិច គាត់ធំណាស់ សូមពិនិត្យមើលរូបភាពរបស់ខ្ញុំ,negative
វាចេញមកក្រៅរន្ធ ខ្ញុំមានអារម្មណ៍ថាដូចជារន្ធទូរស័ព្ទរបស់ខ្ញុំមិនមែនព្រហ្មចារីយ៍ទេ។ឡូយម្លេះ... :`(,negative
ក្តៅណាស់ថ្ងៃនេះ =_= មិនចូលចិត្តវា ហើយខ្ញុំស្អប់តារាងពេលវេលាថ្មីរបស់ខ្ញុំ ដែលមានសប្តាហ៍អាក្រក់បែបនេះ,negative
នឹកអ្នក។,negative
រមួលក្រពើ។..,negative
អ្នក​ទាំង​អស់​គ្នា​មិន​បាន​និយាយ​សួស្តី ឬ​ឆ្លើយ​សំណួរ​ខ្ញុំ​ពី​ម្សិល​មិញ​ទេ ប៉ុន្តែ​ជា​បទ​ចម្រៀង​ដ៏​ពីរោះ។,positive
